file_path,line_number,line_text,is_level_symbol,detected_symbol,symbol_category,has_comma_after_symbol
"data/filted/TPDM,109,易,187,20250116,1.json",26,壹仟元折算壹日。未扣案之犯罪所得新臺幣貳萬元沒收，於全部,True,壹,大寫中文數字,False
"data/filted/TPDM,109,易,187,20250116,1.json",31,一、邱創智經梁志遠介紹而結識慶京不動產有限公司(起訴書誤,True,一,中文數字,True
"data/filted/TPDM,109,易,187,20250116,1.json",34,未取得律師資格，除依法令執行職務者外，不得意圖營利而,True,未,地支,False
"data/filted/TPDM,109,易,187,20250116,1.json",45,二、案經法務部調查局臺北市調查處移送臺灣臺北地方檢察署(,True,二,中文數字,True
"data/filted/TPDM,109,易,187,20250116,1.json",48,甲、有罪部分,True,甲,天干,True
"data/filted/TPDM,109,易,187,20250116,1.json",49,壹、程序部分,True,壹,大寫中文數字,True
"data/filted/TPDM,109,易,187,20250116,1.json",50,一、本判決所引被告以外之人於審判外所為之陳述，悉經當事人,True,一,中文數字,True
"data/filted/TPDM,109,易,187,20250116,1.json",57,二、本判決資以認定被告犯罪事實之非供述證據，查無違反法定,True,二,中文數字,True
"data/filted/TPDM,109,易,187,20250116,1.json",60,貳、實體部分,True,貳,大寫中文數字,True
"data/filted/TPDM,109,易,187,20250116,1.json",61,一、認定事實所憑之證據及理由,True,一,中文數字,True
"data/filted/TPDM,109,易,187,20250116,1.json",66,㈠被告邱創智經梁志遠介紹而結識慶京公司之負責人陳山偉，,True,㈠,圍字數字,False
"data/filted/TPDM,109,易,187,20250116,1.json",70,乙事；陳山偉於106年6月至107年3月之期間，與被告邱創智,True,乙,天干,False
"data/filted/TPDM,109,易,187,20250116,1.json",81,㈡按未取得律師資格，意圖營利而辦理訴訟事件者，嚴重破壞,True,㈡,圍字數字,False
"data/filted/TPDM,109,易,187,20250116,1.json",96,㈢被告邱創智固辯稱：我不認為起訴書所載的詐欺內容是事實,True,㈢,圍字數字,False
"data/filted/TPDM,109,易,187,20250116,1.json",110,㈣從而，本案事證明確，被告邱創智犯行足堪認定，應依法論,True,㈣,圍字數字,False
"data/filted/TPDM,109,易,187,20250116,1.json",112,二、論罪科刑,True,二,中文數字,True
"data/filted/TPDM,109,易,187,20250116,1.json",113,㈠新舊法比較之說明,True,㈠,圍字數字,False
"data/filted/TPDM,109,易,187,20250116,1.json",126,一般法律施用原則，逕行適用裁判時法即現行律師法第127,True,一,中文數字,False
"data/filted/TPDM,109,易,187,20250116,1.json",128,㈡核被告邱創智所為，係犯刑法第339條第1項之詐欺取財罪、,True,㈡,圍字數字,False
"data/filted/TPDM,109,易,187,20250116,1.json",131,㈢按刑事訴訟法第95條所為罪名告知義務之規定，旨在使被告,True,㈢,圍字數字,False
"data/filted/TPDM,109,易,187,20250116,1.json",144,㈣被告以一行為同時觸犯上開各罪，為想像競合犯，應從一重,True,㈣,圍字數字,False
"data/filted/TPDM,109,易,187,20250116,1.json",146,㈤爰以行為人之責任為基礎，審酌被告邱創智未具律師身分，,True,㈤,圍字數字,False
"data/filted/TPDM,109,易,187,20250116,1.json",153,㈥不予緩刑之說明,True,㈥,圍字數字,False
"data/filted/TPDM,109,易,187,20250116,1.json",163,三、沒收,True,三,中文數字,True
"data/filted/TPDM,109,易,187,20250116,1.json",165,未扣案，爰依刑法第38條之1第1項、第3項規定宣告沒收，,True,未,地支,False
"data/filted/TPDM,109,易,187,20250116,1.json",167,乙、無罪部分,True,乙,天干,True
"data/filted/TPDM,109,易,187,20250116,1.json",168,壹、公訴意旨略以：,True,壹,大寫中文數字,True
"data/filted/TPDM,109,易,187,20250116,1.json",169,一、被告邱創智明知其未合法取得律師資格，不得設立事務所而,True,一,中文數字,True
"data/filted/TPDM,109,易,187,20250116,1.json",188,二、嗣因被告邱創智、梁志遠、邱靖貽3人合夥經營宸翰法律事,True,二,中文數字,True
"data/filted/TPDM,109,易,187,20250116,1.json",200,貳、按犯罪事實應依證據認定之，無證據不得認定犯罪事實；不,True,貳,大寫中文數字,True
"data/filted/TPDM,109,易,187,20250116,1.json",216,參、公訴意旨認被告邱創智、梁志遠、邱靖貽、林延慶涉犯上開,True,參,大寫中文數字,True
"data/filted/TPDM,109,易,187,20250116,1.json",264,肆、按修正前律師法第50條第1項規定：「未取得律師資格，意,True,肆,大寫中文數字,True
