"annotation_id","annotator","created_at","detected_symbol","file_path","has_comma_after_symbol","id","is_level_symbol","lead_time","line_number","line_text","sentiment","symbol_category","updated_at"
1,"1","2025-10-10T09:20:49.125457Z","壹","data/filted/TPDM,109,易,187,20250116,1.json",False,1,True,56.875,26,"壹仟元折算壹日。未扣案之犯罪所得新臺幣貳萬元沒收，於全部","Negative","大寫中文數字","2025-10-10T09:20:49.125474Z"
2,"1","2025-10-10T09:22:18.167690Z","一","data/filted/TPDM,109,易,187,20250116,1.json",True,2,True,6.609,31,"一、邱創智經梁志遠介紹而結識慶京不動產有限公司(起訴書誤","Positive","中文數字","2025-10-10T09:22:18.167711Z"
3,"1","2025-10-10T09:22:23.809669Z","未","data/filted/TPDM,109,易,187,20250116,1.json",False,3,True,5.193,34,"未取得律師資格，除依法令執行職務者外，不得意圖營利而","Negative","地支","2025-10-10T09:22:23.809693Z"
4,"1","2025-10-10T09:22:25.528258Z","二","data/filted/TPDM,109,易,187,20250116,1.json",True,4,True,1.27,45,"二、案經法務部調查局臺北市調查處移送臺灣臺北地方檢察署(","Positive","中文數字","2025-10-10T09:22:25.528280Z"
5,"1","2025-10-10T09:22:27.146757Z","甲","data/filted/TPDM,109,易,187,20250116,1.json",True,5,True,1.145,48,"甲、有罪部分","Positive","天干","2025-10-10T09:22:27.146787Z"
6,"1","2025-10-10T09:22:28.499498Z","壹","data/filted/TPDM,109,易,187,20250116,1.json",True,6,True,0.925,49,"壹、程序部分","Positive","大寫中文數字","2025-10-10T09:22:28.499516Z"
7,"1","2025-10-10T09:22:29.802815Z","一","data/filted/TPDM,109,易,187,20250116,1.json",True,7,True,0.862,50,"一、本判決所引被告以外之人於審判外所為之陳述，悉經當事人","Positive","中文數字","2025-10-10T09:22:29.802834Z"
8,"1","2025-10-10T09:22:31.528557Z","二","data/filted/TPDM,109,易,187,20250116,1.json",True,8,True,1.324,57,"二、本判決資以認定被告犯罪事實之非供述證據，查無違反法定","Positive","中文數字","2025-10-10T09:22:31.528606Z"
9,"1","2025-10-10T09:22:32.852920Z","貳","data/filted/TPDM,109,易,187,20250116,1.json",True,9,True,0.937,60,"貳、實體部分","Positive","大寫中文數字","2025-10-10T09:22:32.852937Z"
10,"1","2025-10-10T09:22:34.337494Z","一","data/filted/TPDM,109,易,187,20250116,1.json",True,10,True,1.087,61,"一、認定事實所憑之證據及理由","Positive","中文數字","2025-10-10T09:22:34.337513Z"
11,"1","2025-10-10T09:22:36.069665Z","㈠","data/filted/TPDM,109,易,187,20250116,1.json",False,11,True,1.059,66,"㈠被告邱創智經梁志遠介紹而結識慶京公司之負責人陳山偉，","Positive","圍字數字","2025-10-10T09:22:36.069685Z"
12,"1","2025-10-10T09:22:37.867772Z","乙","data/filted/TPDM,109,易,187,20250116,1.json",False,12,True,1.409,70,"乙事；陳山偉於106年6月至107年3月之期間，與被告邱創智","Negative","天干","2025-10-10T09:22:37.867807Z"
13,"1","2025-10-10T09:22:40.047081Z","㈡","data/filted/TPDM,109,易,187,20250116,1.json",False,13,True,1.709,81,"㈡按未取得律師資格，意圖營利而辦理訴訟事件者，嚴重破壞","Positive","圍字數字","2025-10-10T09:22:40.047101Z"
14,"1","2025-10-10T09:27:23.764405Z","㈢","data/filted/TPDM,109,易,187,20250116,1.json",False,14,True,4.444,96,"㈢被告邱創智固辯稱：我不認為起訴書所載的詐欺內容是事實","Positive","圍字數字","2025-10-10T09:27:23.764424Z"
15,"1","2025-10-10T09:27:27.381632Z","㈣","data/filted/TPDM,109,易,187,20250116,1.json",False,15,True,3.166,110,"㈣從而，本案事證明確，被告邱創智犯行足堪認定，應依法論","Positive","圍字數字","2025-10-10T09:27:27.381651Z"
17,"1","2025-10-10T09:27:30.153433Z","㈠","data/filted/TPDM,109,易,187,20250116,1.json",False,17,True,0.919,113,"㈠新舊法比較之說明","Positive","圍字數字","2025-10-10T09:27:30.153450Z"
18,"1","2025-10-10T09:27:32.620557Z","一","data/filted/TPDM,109,易,187,20250116,1.json",False,18,True,2.067,126,"一般法律施用原則，逕行適用裁判時法即現行律師法第127","Negative","中文數字","2025-10-10T09:27:32.620575Z"
19,"1","2025-10-10T09:27:34.075787Z","㈡","data/filted/TPDM,109,易,187,20250116,1.json",False,19,True,1.065,128,"㈡核被告邱創智所為，係犯刑法第339條第1項之詐欺取財罪、","Positive","圍字數字","2025-10-10T09:27:34.075822Z"
20,"1","2025-10-10T09:27:35.462303Z","㈢","data/filted/TPDM,109,易,187,20250116,1.json",False,20,True,0.998,131,"㈢按刑事訴訟法第95條所為罪名告知義務之規定，旨在使被告","Positive","圍字數字","2025-10-10T09:27:35.462324Z"
21,"1","2025-10-10T09:27:36.752149Z","㈣","data/filted/TPDM,109,易,187,20250116,1.json",False,21,True,0.884,144,"㈣被告以一行為同時觸犯上開各罪，為想像競合犯，應從一重","Positive","圍字數字","2025-10-10T09:27:36.752168Z"
22,"1","2025-10-10T09:27:37.929511Z","㈤","data/filted/TPDM,109,易,187,20250116,1.json",False,22,True,0.777,146,"㈤爰以行為人之責任為基礎，審酌被告邱創智未具律師身分，","Positive","圍字數字","2025-10-10T09:27:37.929530Z"
23,"1","2025-10-10T09:27:39.140177Z","㈥","data/filted/TPDM,109,易,187,20250116,1.json",False,23,True,0.805,153,"㈥不予緩刑之說明","Positive","圍字數字","2025-10-10T09:27:39.140196Z"
24,"1","2025-10-10T09:27:41.030375Z","三","data/filted/TPDM,109,易,187,20250116,1.json",True,24,True,1.457,163,"三、沒收","Positive","中文數字","2025-10-10T09:27:41.030396Z"
26,"1","2025-10-10T09:27:43.964338Z","乙","data/filted/TPDM,109,易,187,20250116,1.json",True,26,True,0.927,167,"乙、無罪部分","Positive","天干","2025-10-10T09:27:43.964359Z"
27,"1","2025-10-10T09:27:45.414994Z","壹","data/filted/TPDM,109,易,187,20250116,1.json",True,27,True,1.03,168,"壹、公訴意旨略以：","Positive","大寫中文數字","2025-10-10T09:27:45.415016Z"
28,"1","2025-10-10T09:27:46.827031Z","一","data/filted/TPDM,109,易,187,20250116,1.json",True,28,True,0.987,169,"一、被告邱創智明知其未合法取得律師資格，不得設立事務所而","Positive","中文數字","2025-10-10T09:27:46.827058Z"
29,"1","2025-10-10T09:27:48.083640Z","二","data/filted/TPDM,109,易,187,20250116,1.json",True,29,True,0.835,188,"二、嗣因被告邱創智、梁志遠、邱靖貽3人合夥經營宸翰法律事","Positive","中文數字","2025-10-10T09:27:48.083659Z"
30,"1","2025-10-10T09:27:49.350890Z","貳","data/filted/TPDM,109,易,187,20250116,1.json",True,30,True,0.798,200,"貳、按犯罪事實應依證據認定之，無證據不得認定犯罪事實；不","Positive","大寫中文數字","2025-10-10T09:27:49.350911Z"
31,"1","2025-10-10T09:27:50.901035Z","參","data/filted/TPDM,109,易,187,20250116,1.json",True,31,True,1.093,216,"參、公訴意旨認被告邱創智、梁志遠、邱靖貽、林延慶涉犯上開","Positive","大寫中文數字","2025-10-10T09:27:50.901050Z"
32,"1","2025-10-10T09:27:52.322609Z","肆","data/filted/TPDM,109,易,187,20250116,1.json",True,32,True,1.012,264,"肆、按修正前律師法第50條第1項規定：「未取得律師資格，意","Positive","大寫中文數字","2025-10-10T09:27:52.322627Z"
33,"1","2025-10-10T09:27:54.414375Z","伍","data/filted/TPDM,109,易,187,20250116,1.json",True,33,True,1.334,280,"伍、關於公訴意旨一之被告邱創智、梁志遠、邱靖貽部分","Positive","大寫中文數字","2025-10-10T09:27:54.414392Z"
34,"1","2025-10-10T09:27:55.831176Z","一","data/filted/TPDM,109,易,187,20250116,1.json",True,34,True,0.98,311,"一、被告邱創智、梁志遠均未具律師資格，被告邱靖貽領有法務","Positive","中文數字","2025-10-10T09:27:55.831196Z"
36,"1","2025-10-10T09:28:39.336652Z","二","data/filted/TPDM,109,易,187,20250116,1.json",True,36,True,3.554,331,"二、查本案合資契約第2條記載：「甲乙丙(按依序為被告邱創智","Positive","中文數字","2025-10-10T09:28:39.336671Z"
37,"1","2025-10-10T09:28:56.818156Z","三","data/filted/TPDM,109,易,187,20250116,1.json",True,37,True,16.943,342,"三、依卷內現存事證，就被告邱靖貽等3人實際合夥經營「宸翰","Positive","中文數字","2025-10-10T09:28:56.818177Z"
38,"1","2025-10-10T09:28:58.286594Z","㈠","data/filted/TPDM,109,易,187,20250116,1.json",False,38,True,0.96,345,"㈠證人吳甲乙證稱：我記得邱創智公司名稱是宸翰公司等語(見","Positive","圍字數字","2025-10-10T09:28:58.286612Z"
39,"1","2025-10-10T09:28:59.520554Z","㈡","data/filted/TPDM,109,易,187,20250116,1.json",False,39,True,0.739,364,"㈡附表一編號1之案件，係由吳甲乙、被告邱靖貽簽立委任契約","Positive","圍字數字","2025-10-10T09:28:59.520574Z"
